,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
2FBD_M5_Days in Period,15,,33,,,,,,,,,19,,,,,,19,12,25,21,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,31,,,,,,,,,,,,,,,,,31,,,,,,,246,,,,,,,13,188,,,,
2FBD_M5_Fuel Cost,"$2,971",,"$3,540",,,,,,,,,"$1,128",,,,,,"$1,174",$872,"$1,166",$528,,,,,,,,,,,,,,,,,"$1,192",,,,,,,,,,,,,,,,,,"$1,564",,,,,,,,,,,"$9,752",,,,,,,,,,,,,,,,,"$1,844",,,,,,,$468,,,,,,,"$1,110",$380,,,,
2FBD_M5_OilUsage(Gallons),900,,870,,,,,,,,,250,,,,,,399,351,387,196,,,,,,,,,,,,,,,,,322,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,"3,818",,,,,,,,,,,,,,,,,445,,,,,,,148,,,,,,,300,100,,,,
2FBD_M5_Period Ending,4/4/14,,2/22/14,,,,,,,,,3/13/14,,,,,,2/19/15,1/21/15,2/24/15,2/19/15,,,,,,,,,,,,,,,,,12/29/14,,,,,,,,,,,,,,,,,,12/18/14,,,,,,,,,,,3/31/15,,,,,,,,,,,,,,,,,3/21/14,,,,,,,11/7/14,,,,,,,1/9/14,11/1/14,,,,
2FBD_M5_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,No,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,
2FBD_M6_Days in Period,17,,33,,,,,,,,,33,,,,,,20,11,23,21,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,14,,,,,
2FBD_M6_Fuel Cost,$743,,$907,,,,,,,,,$985,,,,,,"$1,085","$1,021",$582,$516,,,,,,,,,,,,,,,,,"$2,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,933",,,,,,,,,,,,,,,,,"$2,069",,,,,,,,,,,,,,"$1,900",,,,,
2FBD_M6_OilUsage(Gallons),225,,251,,,,,,,,,225,,,,,,362,400,221,187,,,,,,,,,,,,,,,,,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,267",,,,,,,,,,,,,,,,,517,,,,,,,,,,,,,,500,,,,,
2FBD_M6_Period Ending,4/21/14,,3/27/14,,,,,,,,,4/15/14,,,,,,3/11/15,2/1/15,3/19/15,3/12/15,,,,,,,,,,,,,,,,,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/25/15,,,,,,,,,,,,,,,,,4/28/14,,,,,,,,,,,,,,1/23/14,,,,,
2FBD_M6_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,
