,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
PLEI_1_ENERGYSTARQualified?,,NO,,No,,Yes,,,,Yes,No,,No,,No,No,,,,,,,no,,,,,,,,,,,,No,No,,,,,No,No,,,,,,,Yes,No,,no,,No,,,,,,,,,,,,No,,,No,,No,,No,No,No,Yes,,,No,,,No,Yes,No,No,,No,No,No,,,No,no,,No,No,No,,No,Yes,No,No,No
PLEI_1_EquipmentDescription,WaterCoolers,computer,Humidifiers,computers,refrigerator,OfficeDesktops,Desktop,Desktop,PortableFans,ResiFridge,Computers,Microwave,Refrigerator,LargeTV,microwave,refrigerator,CoffeeMaker,Microwave,microwave,WaterCooler,Desktops,Toaster,speakers,HotWaterPumpMotor,fixhtank,Microwave,CeilingFans,TV,HeatingSystemMotors,Microwave,HeatingSystemMotors,PortableFan,SupplyFanMotors,HWPCirculators,computers,refrigerator,ElectricUnitHeaters,TV,ElectricUnitHeater,Hotwatercirculator,freezer,Computer,Microwave,ElecUnitHeater,HotWaterCirculators,Speakers,Speakers,HotWaterCircPump,ClassroomDesktopComputers,Computer,1/25HPCirculator,CoffeeMakers,HotWaterPumpMotors,commercialrefrigerator,Printer,LargeFan,TV,HotWaterPumps,Desktops,CeilingFans,StandupFridge,Speakers,,TV,TV,speakers,Speakers,WashingMachine,KitchenRefrigerator,Microwave,Refrigerator,Microwave,Desktop,MainRoomSpeakers,refridgerator,Computer,,,Computers,,,CentralVacuums,TV,Scanner/Printer,TV,,Television,ElectricBandSaw,securitysystem,,refridgerator,Computers,computer,fan,Computers,Computers,MicrowaveOven,,UnitHeater-Sancutary,Computer,Computer,WineCoolers,refrigerators
PLEI_1_Manufacturer,,Unkown,Electrolux,unknown,,,Dell,Dell,,,,,,,unknown,unknown,,,,,,,unknown,,,,,,,,,,,,various,unknown,,,,,,,,,,,,,Apple,,,unknown,,Troulsen,,,,,,,,,,,,unknown,,Whirlpool,Kenmore,,Amana,,Lenovo,ElectroVoice,whirlpool,,,,Various,,,Hayden,Samsung,Multiple,Samsung,,Coby,unknown,unknown,,,various,unknown,,,,Samsung,,ComfortZone,,,Haier,Various
PLEI_1_Model,,Unkown,,unknown,,,,,,,,,,,unknown,unknown,,,,,,,unknown,,,,,,,,,,,,various,unknown,,,,,,,,,,,,,,,,unknown,,unknown,,,,,,,,,,,,unknown,,WED70HEBW,106.545364,,A8RXNGMWE01,,3109mu,YS1023,21MTFA,,,,Various,,,SuperVacPremier,,Multiple,Unknown,,Unknown,unknown,unknown,,,various,unknown,,,,MW650WA,,CZQTV5M,,,HVF042BBG,Various
PLEI_1_Quantity,1,1,2,6,1,2,18,18,2,2,4,2,4,1,2,1,1,2,1,1,7,2,4,1,2,1,6,3,4,1,6,4,2,2,4,1,15,4,2,1,1,3,1,1,2,2,3,1,9,3,1,3,3,1,22,1,5,3,8,6,1,2,,1,1,6,9,1,1,1,1,1,8,2,2,13,,,8,,,2,1,2,1,,1,1,1,,1,21,1,3,1,1,1,,2,40,7,3,3
PLEI_20_AnnualkWhConsumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_20_ENERGYSTARQualified?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_20_EquipmentDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApartmentTVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_20_Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_20_Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_20_Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_2_AnnualEnergyCost,$742,,$254,$21,$7,$438,$4,$4,,$27,$89,,,,$216,$51,$15,,$177,$12,$114,$144,,$78,,$0,,,,,,,,,,,,,,,,,,,,,,,$65,$18,,,,,,,,,,,,,,,,,,,$33,,$246,,$303,$181,$30,$120,,,$377,,,$30,,$336,"$1,313",,,$73,,,$86,$17,$40,$17,$16,$16,$24,,$40,"$5,164",$2,$195,$160
PLEI_2_AnnualkWhConsumption,"2,970",,810,100,25,"1,989",15,15,400,75,240,60,10,7,998,200,52,200,713,50,467,540,998,299,428,0,"2,400",120,0,11,2,63,144,750,23,"1,283","1,119",1,8,500,998,,20,0,840,"1,440",1,450,170,60,320,"1,283",200,"1,283","1,200",18,10,840,5,1,75,7,,1,50,998,490,219,132,70,"1,020",760,"1,078",624,120,527,,,"1,632",,,130,,"1,080","5,840",,,400,,,270,86,200,100,55,55,90,,180,"17,520",7,"1,460",600
PLEI_2_AnnualkWhSavings,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_2_ENERGYSTARQualified?,,,,No,,No,,,,No,No,,No,,No,no,,,,,,,no,,,,,,,,,,,,NO,No,,,,,NO,No,,,,,,,Yes,No,,no,,No,,,,,,,,,,,,NO,,,No,,Yes,,No,No,No,Yes,,,NO,,,No,,No,No,,,No,,,,No,no,,No,No,No,,No,Yes,No,No,NO
PLEI_2_EquipmentDescription,PersonalComputers,,CoffeePots,printers,tv,RegisterComputers,Phone,Phone,FloorFans,CeilingFans,Refrigerator,CeilingFans,Dishwasher,SmallTV,refrigerator,fan,CeilingFan,CoffeeMaker,refrigerator,Microwave,TVs,CoffeeMaker,refrigerator,SupplyFanMotor,watercooler,Toaster,StereoSystem,Speakers,Printer,Toaster,Printer,Dryer,LargeFan,ElectricUnitHeaters,tv,freezer,SteamCond.PumpMotors,Printer,Microwave,RadioSystem,refrigerator,Printer,PortableFan,Washer,Speakers,Desktops,Radio,ElectricUnitHeater,ClassroomFlatScreenComputerMonitors,Printer/Scanner,Desktop,refrigerator,CeilingFans,chestfreezer,Fans,PortableFan,Speakers,Desktop,Printer,SmallTV,Microwave,TV,,Radio,Projector,refrigerator,CeilingFans,Dryer,KitchenMicrowave,TV,DesktopComputerTower,Stand-UpFridge,LCD,MainRoomSpeakers,electricburners,Printer,,,Monitors,,,Computer,CommercialWasherInventoryandRecommendations,DescktopPC,EmpireBakeryEqpmt,,,DeliSlicer,,,computer,printers,printers,waterfountain,Laptop,Laptop,WaterCoolerWithHotWater,,Microwave,1/2RackServer,Phone,RegisterComputer,chestfreezer
PLEI_2_Manufacturer,,,,unknown,,PioneerPOS,,,,,,,,,unknown,unknown,,,,Sharp,,,unknown,,,,,,,,,,,,unknown,unknown,,,,,,,,,,,,,,Canon,,unknown,,Kenmore,,,,,,,,,,,,unknown,,Whirlpool,Sanyo,,Gateway,,Dell,ElectroVoice,Unknown,,,,Various,,,,,Multiple,Empire,,,unknown,,,,various,unknown,Elkay,,,SunrocCorp.,,GoldStar,,,Unknown,unknown
PLEI_2_Model,,,,unknown,,S-Line15,,,,,,,,,unknown,unknown,,,,,,,unknown,,,,,,,,,,,,unknown,unknown,,,,,,,,,,,,,,F280390,,unknown,,,,,,,,,,,,,,unknown,,WFW70HEBW,Unknown,,E-4500D,,,ELX115P,Unknown,,,,Various,,,,,Multiple,130/A0,,,unknown,,,,various,unknown,,,,TPV1H,,Multiwave,,,Unknown,unknown
PLEI_2_Quantity,11,,6,2,1,3,3,3,4,2,1,3,1,2,1,2,1,2,1,1,6,2,1,1,1,1,1,6,1,1,5,1,3,2,1,1,2,4,1,1,1,2,1,1,6,12,1,3,9,1,2,1,5,1,6,7,1,7,4,3,1,1,,1,1,1,7,1,1,2,6,1,11,2,1,9,,,16,,,2,,4,1,,,4,,,1,4,2,1,1,1,1,,1,1,1,2,1
PLEI_3_AnnualEnergyCost,$375,,$47,$15,$6,$3,$381,$381,,$215,$111,,,,$4,,$3,,$4,$160,$1,$51,,$78,,$44,,,,,,,,,,,,,,,,,,,,,,,$92,$100,,,,,,,,,,,,,,,,,,,$288,,$287,,$144,$35,$46,,,,$69,,,$5,ThermsSavings,$673,"$1,619",,,,,,$10,$152,$12,$3,$2,$2,$80,,$7,"$1,326",$30,$556,$27
PLEI_3_AnnualkWhConsumption,"1,500",,150,75,20,15,"1,558","1,558","2,700",608,300,750,15,20,20,,10,140,14,640,5,192,75,299,125,180,2,3,50,50,225,60,35,21,360,300,200,2,750,60,18,,150,0,4,180,750,,242,340,120,400,60,"1,995","1,080",15,2,10,490,60,500,20,,175,100,"1,200",630,870,"1,152",650,"1,190",10,512,120,180,,,,300,,,22,kWhSavings,"2,160","7,200",,,,,,30,778,60,20,7,7,300,,30,"4,500",94,"4,161",100
PLEI_3_AnnualkWhSavings,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_3_ENERGYSTARQualified?,,,,No,,No,,,,No,No,,No,,No,,,,,,,,no,,,,,,,,,,,,no,No,,,,,No,No,,,,,,,Yes,No,,,,No,,,,,,,,,,,,no,,,No,,No,,No,No,No,,,,No,,,No,Loads/Week,No,No,,,,,,,No,no,,No,No,No,,No,Yes,No,No,No
PLEI_3_EquipmentDescription,ElectricSpaceUnitHeater,,Microwave,copier,cablebox,RegisterFax,Printer,Printer,CeilingFans,MusicEquipment,Freezer,ElectricUnitHeater,Microwave,Microwave,dishwasher,,Microwave,PortableFans,coffee,Refrigerators,Printers,Microwave,tv,CondenserFanMotor,Printer,SpeakerSystem,Printer,Projector,PortableFan,CoffeeMaker,PortableFan,TV,PortableFan,Speakers,microwave,warmer,FloorFans,Radio,Fridge,Desktop,microwave,SmallRefrigerator,Speakers,Dryer,TV,TV,Fridge,,StaffLaptops,Refrigerator,TVMonitor,tv,Speakers,refrigerators,Desktops,Microwave,Blender,Printers,TV,PortableFan,ElectricUnitHeater,CeilingFans,,SaltCrystalLamp,Speaker,computers,FloorFans,Refrigerator,KitchenCommercialRefrig,Speakers,DesktopComputerTower,FloorFan,Refrigerator,BackOffice,Microwave,,,,SpaceHeater,,,Scanner,Manufacturer,minifridge,CoffeeMaker/Heaters,,,,,,microwave,watercooler,speakers,television,Telephone,Telephone,LargeSpaceHeater,,Mixer-Stand,Copier,Television,InductionTop,computer
PLEI_3_Manufacturer,,,,unknown,,LaserFax,"Canon,HPOfficejet,Deskjet","Canon,HPOfficejet,Deskjet",,,,,,,unknown,,,,,Kenmore,,,unknown,,,,,,,,,,,,unknown,unknown,,,,,,,,,,,,,,MagicChef,,,,,,,,,,,,,,,,unknown,,GE,TRUE,,Asus,,Whirlpool,Dell,Unkown,,,,unknown,,,,QTY,Multiple,Unknown,,,,,,,unknown,uknown,,,,Patton,,Unknown,,,Summit/CoolTek,unkown
PLEI_3_Model,,,,unknown,,SuperG3,,,,,,,,,unknown,,,,,,,,unknown,,,,,,,,,,,,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,GSS23QSTASS,T-49,,M11AD,,ET0WSRX,Vostro220,Unknown,,,,uknown,,,,CapacityCubitFeet,Multiple,Unknown,,,,,,,unknown,unknown,,,,386015,,Unknown,,,Unknown,unkown
PLEI_3_Quantity,2,,1,1,1,1,7,7,27,1,1,1,1,2,1,,1,7,1,1,5,2,1,1,1,1,2,1,2,1,9,1,7,6,2,1,4,1,1,2,1,1,3,1,1,4,1,,7,1,1,2,2,2,9,2,1,4,14,2,2,2,,2,1,3,9,1,1,13,7,2,1,1,1,,,,1,,,1,ModelNumber,3,2,,,,,,1,1,4,1,2,2,1,,1,3,3,2,1
PLEI_4_AnnualEnergyCost,$140,,$4,$206,,$0,$294,$294,,,$52,,,,$247,,$1,,$149,$186,$15,$404,,$195,,$25,,,,,,,,,,,,,,,,,,,,,,,$56,$6,,,,,,,,,,,,,,,,,,,$294,,$5,,$3,,$427,,,,$266,,,$83,840,$37,,,,,,,$33,$406,$5,$230,$6,$6,$120,,$132,"$1,288",$36,$29,$5
PLEI_4_AnnualkWhConsumption,560,,12,998,,0,"1,200","1,200","4,400",,140,20,374,5,"1,140",,4,50,600,745,60,"1,512",900,750,125,100,80,450,400,,480,100,60,360,105,500,238,105,560,1,18,,1,468,720,1,0,,147,20,10,300,10,510,210,80,12,360,"1,400",12,70,4,,1,350,700,"1,000",30,"1,176",120,19,3,10,,"1,685",,,,"1,150",,,364,1910,120,,,,,,,104,"2,074",25,"1,350",21,21,450,,600,"4,368",112,219,20
PLEI_4_AnnualkWhSavings,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_4_ENERGYSTARQualified?,,,,No,,Yes,,,,,No,,No,,No,,,,,,,,no,,,,,,,,,,,,no,no,,,,,No,No,,,,,,,Yes,No,,,,No,,,,,,,,,,,,no,,,No,,No,,No,,No,,,,No,,,No,50,No,,,,,,,,No,No,,Yes,Yes,No,,No,Yes,No,No,No
PLEI_4_EquipmentDescription,Printer/Scanner,,Radio/Stereo,refrigerator,,OfficePrinter,Printer/Scanner,Printer/Scanner,Desktop,,Microwave,StereoSystem,CeilingFan,Toaster,minifridge,,Radio,TV,computer,Freezer,Microwave,Fridge,electricheaters,Desktop,Printer,Laptop,PortableFans,Desktop,Desktop,,Desktop,ElectricUnitHeater,Speakers,Desktop,copier,elevator,WallFans,Computer,Laptop,Printer,maytag,StandingFan,TV,Fridge,Desktops,WaterDispenser,Microwave,,StaffDesktop,Speakers,PortableFan,microwave,FloorFan,speakers,TV,CeilingFans,Toaster,Laptops,PortableFan,LargeTV,TV,Radio,,Printer,MiniFridge,copier,ElectricUnitHeater,Dishwasher,BasementHallRefrig,Desktop,Printer,Stereo,Microwave,,desktopcomputer,,,,refridgerator,,,Mini-Fridge,Wascomat,CeilingFans,,,,,,,speakers,freezerchest,keyboard,officecopier,HotWaterKettle,HotWaterKettle,LargeSpaceHeater,,UnitHeater-Kid'sRm,Monitors,CeilingFans(W/Lamps),StereoSystem,microwave
PLEI_4_Manufacturer,,,,unknown,,Epson,"Canon,Panisonic","Canon,Panisonic",,,,,,,unknown,,,,,Kenmore,,,unknown,,,,,,,,,,,,unknown,unknown,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,unknown,,GE,WhiteConsolidated,,unknown,,Unknown,,Unknown,,,,Whilpool,,,,10,Multiple,,,,,,,,unknown,unknown,Toshiba,,,Pelonis,,Pelonis,,,QSC,unkown
PLEI_4_Model,,,,unknown,,XP-410,,,,,,,,,unknown,,,,,,,,unknown,,,,,,,,,,,,unknown,unknown,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,unknown,,PDW9980L00SS,WRT16JRCD1,,unknown,,Unknown,,unkown,,,,,,,,2.7,Multiple,,,,,,,,unknown,unknown,5520c,,,HO-0218,,HO-0218,,,Unknown,unkown
PLEI_4_Quantity,7,,1,1,,1,2,2,44,,1,1,4,1,2,,3,1,2,1,2,2,2,5,1,1,2,3,4,,24,1,4,4,2,1,17,3,7,1,1,2,2,1,6,1,2,,2,4,1,1,1,12,6,8,1,4,14,4,2,1,,1,1,1,4,1,1,1,3,1,1,,1,,,,1,,,1,JR,4,,,,,,,2,1,1,1,1,1,1,,2,40,4,1,1
PLEI_5_AnnualEnergyCost,$90,,$25,$371,,$486,$54,$54,,,$14,,,,$286,,$6,,$2,$323,$12,$107,,$0,,$74,,,,,,,,,,,,,,,,,,,,,,,$77,$108,,,,,,,,,,,,,,,,,,,$33,,$217,,,,$92,,,,$17,,,$337,1204,$19,,,,,,,,$70,,$191,$19,$19,$144,,$66,,$22,$51,$70
PLEI_5_AnnualkWhConsumption,360,,80,"1,800",,"2,210",220,220,400,,39,1,,30,"1,320",,20,300,8,"1,296",50,400,50,0,360,300,3,"1,000",80,91,160,10,1,2,45,450,"1,680",25,600,30,53,,33,0,1,0,0,,203,366,2,"2,000",4,875,250,14,40,"2,500",70,720,60,250,,500,125,,250,6,132,1,900,60,,,364,,,,72,,,"1,471",1337,60,,,,,,,,356,,"1,125",62,62,540,,300,,68,380,264
PLEI_5_AnnualkWhSavings,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_5_ENERGYSTARQualified?,,,,No,,No,,,,,No,,,,No,,,,,,,,no,,,,,,,,,,,,no,no,,,,,No,No,,,,,,,Yes,No,,,,NO,,,,,,,,,,,,,,,No,,No,,,,No,,,,NO,,,No,50,No,,,,,,,,No,,,Yes,Yes,Yes,,No,,No,No,No
PLEI_5_EquipmentDescription,CoffeeMaker,,DesktopComputers,commercialPrinter,,SodaFountain,Speakers,Speakers,Laptop,,Fax,Printers,,CeilingFans,computers,,Speakers,Desktop,copier,TVs,Minifridge,Desktop,boilersupplypump,TV,Keurig,Desktop,Radio,ElectricHandDryer,Laptop,Totals,Laptop,Radio,Printer,Printer,printer,microwave,Computers,ElectricUH,Desktop,Microwave,copier,LargeRefirgerator,FloorFan,TV,Printers,ElecGarbage,Dishwasher,,StaffFlatScreenComputerMonitor,1Refridgerator,Printer,misc,TV,computer,MiniFridge,TV,Kuerig,HeatingOven,Radio,Desktop,Desktop,MiniFridge,,ElectricUnitHeater,LargeSpeaker,,PortableFans,Microwave,3rdFloorGuestMicrowave,Printer,CommercialMicrowave,ElectricUnitHeater,,,minifridge,,,,Microwave,,,Refridgerator19cu.ft,Wascomat,microwave,,,,,,,,minifridge,,windowairconditioners,Microwave,Microwave,ComputerwithMonitor,,UnitHeater-Bathroom2,,Microwave,Television,spaceheater
PLEI_5_Manufacturer,,,,unknown,,,,,,,,,,,unknown,,,Mac,,,,,unknown,,,,,,,,,,,,unknown,unknown,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,Maytag,,Amana,,,,chefmate,,,,Sharp,,,GE,7,unknown,,,,,,,,unknown,,GE,Frigidaire,Frigidaire,Dell,,Patton,,,Coby,unkown
PLEI_5_Model,,,,unknown,,,,,,,,,,,unknown,,,,,,,,unknown,,,,,,,,,,,,unknown,unknown,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,MMV1153BAB,,URCS511A,,,,Unknown,,,,,,,,5.65,unknown,,,,,,,,unknown,,MEL864,,,,,Unknown,,,Unknown,unkown
PLEI_5_Quantity,3,,2,2,,1,4,4,2,,1,2,,3,3,,4,2,1,5,1,2,1,1,1,2,1,1,1,,2,1,1,3,2,1,28,1,5,1,1,2,3,1,2,1,1,,5,1,2,1,1,1,1,4,1,1,14,6,1,1,,2,1,,5,1,1,1,1,2,,,1,,,,1,,,1,SR,1,,,,,,,,1,,3,1,1,3,,1,,3,1,1
PLEI_6_AnnualEnergyCost,$80,,$9,,,$827,$3,$3,,,$6,,,,$27,,$132,,$4,$15,$16,$256,,$0,,$0,,,,,,,,,,,,,,,,,,,,,,,$824,$358,,,,,,,,,,,,,,,,,,,$18,,$95,,,,$46,,,,,,,$5,984,,,,,,,,,$279,,$19,$15,$15,$12,,,,$7,$4,
PLEI_6_AnnualkWhConsumption,320,,30,,,"3,757",11,11,70,,16,300,,5,123,,450,10,14,60,67,960,,0,713,1,300,6,5,,6,350,1,100,998,,16,300,50,120,40,,0,,144,50,180,,"2,160","1,211",3,,4,250,15,300,650,150,600,1,100,350,,180,,,25,5,70,"1,119",394,50,,,180,,,,,,,22,764,,,,,,,,,"1,426",,113,52,52,43,,,,23,27,
PLEI_6_AnnualkWhSavings,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_6_ENERGYSTARQualified?,,,,,,No,,,,,No,,,,NO,,,,,,,,,,,,,,,,,,,,no,,,,,,No,No,,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,No,,,,No,,,,,,,No,50,,,,,,,,,No,,,Yes,Yes,Yes,,,,No,No,
PLEI_6_EquipmentDescription,Toaster,,Printer/Scanner,,,IceCreamMachine,TV,TV,DeskPrinters,,Printers,Desktops,,Radio,copier,,Desktops,Printer/Scanner,speakers,Floorfan,CeilingFan,TV,,Printer,Minifridge,Printer,Microwave,Microwave,Microwave,,Toaster,Fridge,TV,PortableFan,minifridge,,TV,StereoSystem,Fans,CoffeeMaker,printer,KitchenHotPlate,Printer,,PortableFans,LargeFan,Desktop,,SpaceHeaters,2Freezers,Microwave,,Printer,copier,Microwave,Speakers,Fridge,Microwave,MiniFridge,Printer,Fan,MiniFreezer,,Desktop,,,TV,Toaster,CommunicationsDept,ACUnitFanMotors,ResidentialMicrowave,Speakers,,,microwave,,,,,,,WarmingCabinet,Wascomate,,,,,,,,,refridgerator,,boilercircpump,Toaster,Toaster,ComputerPrinter,,,,Toaster,DeliSlicer,
PLEI_6_Manufacturer,,,KonicaMinolta,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,Various,,unknown,,,,emerson,,,,,,,TurboAir,4,,,,,,,,,unknown,,Tako,KitchenAid,KitchenAid,,,,,,Unknown,
PLEI_6_Model,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,Various,,unknown,,,,,,,,,,,,8.1,,,,,,,,,unknown,,,,,,,,,,Unknown,
PLEI_6_Quantity,2,,1,,,1,3,3,28,,2,2,,1,1,,3,1,6,2,2,3,,1,1,1,2,1,1,,1,1,1,2,1,,2,1,2,2,1,1,1,,2,1,3,,3,2,1,,3,1,1,6,1,2,2,2,2,1,,1,,,1,1,7,4,1,2,,,1,,,,,,,1,Jumbo,,,,,,,,,1,,1,1,1,2,,,,1,1,
PLEI_7_AnnualEnergyCost,$25,,$3,,,$42,"$1,223","$1,223",,,,,,,"$1,085",,$0,,$177,$10,$0,$1,,$1,,$7,,,,,,,,,,,,,,,,,,,,,,,$194,$22,,,,,,,,,,,,,,,,,,,$263,,$190,,,,$16,,,,,,,$16,,,,,,,,,,,,$102,$130,$130,$14,,,,$6,$2,
PLEI_7_AnnualkWhConsumption,100,,10,,,192,"5,000","5,000",240,,,20,,10,"5,000",,0,8,713,38,2,3,,3,"3,220",27,150,5,100,,15,8,8,8,"1,283",,23,200,4,765,400,,100,,350,150,0,,508,75,20,,120,,12,,8,360,300,"2,500",,24,,250,,,840,24,"1,051",,788,,,,62,,,,,,,72,,,,,,,,,,,,600,437,437,54,,,,20,16,
PLEI_7_AnnualkWhSavings,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_7_ENERGYSTARQualified?,,,,,,No,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,no,,,,,,No,No,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,No,,Yes,,,,No,,,,,,,No,,,,,,,,,,,,,Yes,Yes,Yes,,,,No,No,
PLEI_7_EquipmentDescription,Television,,Printer,,,BathroomHandDryer,CoffeePot,CoffeePot,TV,,,TV,,SpeakerSystem,electricheaters,,Phone,Speakers,smallfreezer,Handdryer,Stereo,Stereo,,Printer/Scanner,computers,TV,CoffeeMaker,Shredder,FloorFans,,Microwave,Microwave,Microwave,Microwave,refrigerator,,Microwave,Fan,CoffeeMaker,Fridge,computer,Microwaver,UnitHeater,,MiniFridge,Fans,Printer,,MiniFridge,Microwave,Radio,,Desktops,,Toaster,,Microwave,MiniFridge,Microwave,SmallSpeakers,,CoffeeMaker,,MiniFridge,,,Computer,Television,Printer,,CopyMachine,,,,Printer/Scanner,,,,,,,AudioMixingConsole,,,,,,,,,,,,computers,Refrigerator,Refrigerator,CopierMachine,,,,CoffeeMaker,ElectricMixer,
PLEI_7_Manufacturer,,,,,,Mind,WestBend,WestBend,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,MagicChef,,,,,,,,,,,,,,,,,,,,Unknown,,Toshiba,,,,Risograph,,,,,,,MFXi,,,,,,,,,,,,,Frigidaire,Frigidaire,Xerox,,,,,Unknown,
PLEI_7_Model,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,E-Studio3540c,,,,GR3770,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,
PLEI_7_Quantity,1,,1,,,1,5,5,6,,,4,,2,2,,1,4,1,2,1,1,,2,4,3,1,1,4,,3,1,1,1,1,,3,4,1,1,1,1,1,,1,6,3,,2,1,1,,5,,1,,1,1,2,10,,1,,1,,,7,4,1,,1,,,,2,,,,,,,1,,,,,,,,,,,,2,1,1,1,,,,1,1,
PLEI_8_AnnualEnergyCost,$263,,$2,,,$316,$734,$734,,,,,,,,,$0,,$495,$2,$13,$3,,$0,,$74,,,,,,,,,,,,,,,,,,,,,,,$140,$18,,,,,,,,,,,,,,,,,,,"$1,312",,$190,,,,$440,,,,,,,,,,,,,,,,,,,$340,$78,$78,$36,,,,$186,$166,
PLEI_8_AnnualkWhConsumption,"1,051",,5,,,"1,437","3,000","3,000",180,,,,,2,,,0,460,"1,995",10,54,10,,1,,300,230,600,35,,210,0,6,2,150,,750,6,10,30,60,,,,850,2,1,,368,60,450,,8,,,,160,250,50,"9,600",,2,,,,,1,15,"5,243",,788,,,,"1,735",,,,,,,,,,,,,,,,,,,"2,000",262,262,135,,,,584,"1,241",
PLEI_8_AnnualkWhSavings,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEI_8_ENERGYSTARQualified?,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,No,No,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,No,,Yes,,,,No,,,,,,,,,,,,,,,,,,,,No,No,No,,,,No,No,
