,AnnualElectricSavings(kWh),AnnualGasSavings(Therms),AnnualOilSavings(Gallons),Cost-WeightedLifetime,ECM#,EnergyConservationMeasure,EstimatedAnnual$Savings,EstimatedInstallationCost,EstimatedNYSERDAIncentives,EstimatedPSEGLIIncentives,Life-CycleCostSavings,Life-CycleCostSavingsAfterIncentives,PeakDemandSavings(kW),ROIAfterIncentives,SimplePayback(Years),SimplePaybackAfterIncentive(Years),address,Input.borough,Input.address,Answer.bbl,Answer.x,Answer.y
0,0,,276.5,,1,Weatherization Improvements,$750,"$5,200",,,$67,,,1%,6.93,,"974 E 167th St., Bronx, NY, 10459",Bronx,"974 E 167th St., Bronx, NY, 10459",,1014358,240515
1,"2,314",,0.0,,2,Lighting Upgrades,$609,"$1,802",,,"$5,466",,,303%,2.96,,"974 E 167th St., Bronx, NY, 10459",Bronx,"974 E 167th St., Bronx, NY, 10459",,1014358,240515
2,0,,6.7,,3,Low Flow Aerators,$18,$10,,,$146,,,1458%,0.55,,"974 E 167th St., Bronx, NY, 10459",Bronx,"974 E 167th St., Bronx, NY, 10459",,1014358,240515
3,"3,552",0.0,0.0,,1,Install Efficient Lighting & Controls,$873,"$1,410",,,"$8,735",,,619%,1.62,,"985 E 167th St, Bronx, NY, 10459",Bronx,"985 E 167th St, Bronx, NY, 10459",2027520002.0,1014497,240604
4,"2,063",0.0,0.0,,2,Window Unit Replacements,$507,"$3,887",,,$60,,,2%,7.67,,"985 E 167th St, Bronx, NY, 10459",Bronx,"985 E 167th St, Bronx, NY, 10459",2027520002.0,1014497,240604
5,0,"-3,040.4","2,967.9",,3,Boiler Replacement,"$3,345","$26,562",,,"$1,970",,,7%,7.94,,"985 E 167th St, Bronx, NY, 10459",Bronx,"985 E 167th St, Bronx, NY, 10459",2027520002.0,1014497,240604
6,0,61.9,0.0,,4,Hot Water Conservation,$104,$110,,,$780,,,709%,1.05,,"985 E 167th St, Bronx, NY, 10459",Bronx,"985 E 167th St, Bronx, NY, 10459",2027520002.0,1014497,240604
7,"1,525",0.0,0.0,,5,Refrigeration Equipment Replacements,$375,"$1,220",,,"$2,510",,,206%,3.26,,"985 E 167th St, Bronx, NY, 10459",Bronx,"985 E 167th St, Bronx, NY, 10459",2027520002.0,1014497,240604
8,0,361.6,,,1,Weather-S trip Exterior Doors,$294,"$1,500",$0,,$327,$327,,22%,5.10,5.10,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009338,164760
9,0,361.6,,,1,Weather-S trip Exterior Doors,$294,"$1,500",$0,,$327,$327,,22%,5.10,5.10,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009173,164758
10,"28,229",0.0,,,2,Install Efficient Lighting & Controls,"$6,908","$18,885","$8,095",,"$43,956","$52,051",,407%,2.73,1.56,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009338,164760
11,"28,229",0.0,,,2,Install Efficient Lighting & Controls,"$6,908","$18,885","$8,095",,"$43,956","$52,051",,407%,2.73,1.56,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009173,164758
12,0,186.3,,,3,Install Low Flow Sink Aerators,$152,$70,$0,,"$1,045","$1,045",,1493%,0.46,0.46,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009338,164760
13,0,186.3,,,3,Install Low Flow Sink Aerators,$152,$70,$0,,"$1,045","$1,045",,1493%,0.46,0.46,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009173,164758
14,"2,333",0.0,,,4,Replace Refrigerators with Compact Energy Star Refrigerators,$571,$650,$200,,"$2,895","$3,095",,643%,1.14,0.79,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009338,164760
15,"2,333",0.0,,,4,Replace Refrigerators with Compact Energy Star Refrigerators,$571,$650,$200,,"$2,895","$3,095",,643%,1.14,0.79,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009173,164758
16,0,361.6,,,1,Weather-S trip Exterior Doors,$294,"$1,500",$0,,$327,$327,,22%,5.10,5.10,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009338,164760
17,0,361.6,,,1,Weather-S trip Exterior Doors,$294,"$1,500",$0,,$327,$327,,22%,5.10,5.10,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009173,164758
18,"28,229",0.0,,,2,Install Efficient Lighting & Controls,"$6,908","$18,885","$8,095",,"$43,956","$52,051",,407%,2.73,1.56,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009338,164760
19,"28,229",0.0,,,2,Install Efficient Lighting & Controls,"$6,908","$18,885","$8,095",,"$43,956","$52,051",,407%,2.73,1.56,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009173,164758
20,0,186.3,,,3,Install Low Flow Sink Aerators,$152,$70,$0,,"$1,045","$1,045",,1493%,0.46,0.46,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009338,164760
21,0,186.3,,,3,Install Low Flow Sink Aerators,$152,$70,$0,,"$1,045","$1,045",,1493%,0.46,0.46,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009173,164758
22,"2,333",0.0,,,4,Replace Refrigerators with Compact Energy Star Refrigerators,$571,$650,$200,,"$2,895","$3,095",,643%,1.14,0.79,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009338,164760
23,"2,333",0.0,,,4,Replace Refrigerators with Compact Energy Star Refrigerators,$571,$650,$200,,"$2,895","$3,095",,643%,1.14,0.79,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009173,164758
24,0,"1,053.4",,,1,Envelope Improvements,$864,"$3,750",$0,,"$1,613","$1,613",,43%,4.34,4.34,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
25,"60,267",0.0,,,2,Install Efficient Lighting & Controls,"$13,035","$60,268","$4,975",,"$66,417","$71,392",,120%,4.62,4.24,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
26,"2,156",0.0,,,3,Premium Efficient Motor Replacements,$466,"$3,550",$0,,$980,$980,,28%,7.61,7.61,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
27,"-5,000","2,745.9",,,4,Baseload Boiler Installation,"$1,170","$10,000","$1,000",,"$3,418",$0,,38%,8.55,7.69,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
28,0,"10,016.7",,,5,Boiler Burner Controls Upgrades,"$8,212","$75,000",$0,,"$4,757",$0,,6%,9.13,9.13,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
29,0,798.7,,,6,Thermostatic Valve Installations,$655,"$2,700",$0,,$520,$306,,19%,4.12,4.12,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
30,"30,432","10,927.3",,,7,Energy Management System Installation,"$15,540","$117,000",$0,,"$13,288","$13,288",,11%,7.53,7.53,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
31,883,0.0,,,8,Demand Control Ventilation,$191,"$1,300",$200,,$106,$306,,10%,6.81,5.76,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
32,0,197.8,,,9,Low Flow Hot Water Device Installations,$162,$150,$0,,"$1,044","$1,044",,696%,0.92,0.92,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
33,"3,303",0.0,,,10,Consolidate and Replace Refrigeration Equipment,$714,$500,$100,,$731,$831,,183%,0.70,0.56,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
34,"2,038",0.0,,,11,Vending Machine Controls,$441,$240,$0,,"$1,617","$1,617",,674%,0.54,0.54,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
35,"6,900",0.0,,,12,Computer Power Management Software,"$1,492",$690,$0,,"$5,596","$5,596",,811%,0.46,0.46,"1625 Ocean Avenue, Brooklyn, NY, 11230",Brooklyn,"1625 Ocean Avenue, Brooklyn, NY, 11230",3076200025.0,996536,166015
36,859,,,,1,Lighting Upgrades,$304,$655,$240,,"$2,295","$2,535",,552%,2.16,1.37,"84 Rogers Avenue, Brooklyn, NY, 11553",Brooklyn,"84 Rogers Avenue, Brooklyn, NY, 11553",3012320028.0,997309,184775
37,167,,,,2,Replace Air Conditioners,$59,"$1,540",$0,,"-$1,137","-$1,137",,-74%,26.02,26.02,"84 Rogers Avenue, Brooklyn, NY, 11553",Brooklyn,"84 Rogers Avenue, Brooklyn, NY, 11553",3012320028.0,997309,184775
38,0,101.0,0.0,,1,Implement Air Leakage Sealing Strategies,$177,"$1,030",$0,,$67,$67,,7%,5.83,5.83,"203 Nostrand Ave, Brooklyn, NY, 11205",Brooklyn,"203 Nostrand Ave, Brooklyn, NY, 11205",3017700001.0,997654,191471
39,"2,381",0.0,0.0,,2,Lighting Upgrades,$769,"$1,922",$340,,"$5,500","$5,840",,369%,2.50,2.06,"203 Nostrand Ave, Brooklyn, NY, 11205",Brooklyn,"203 Nostrand Ave, Brooklyn, NY, 11205",3017700001.0,997654,191471
40,0,"-2,524.1","2,048.8",,3,Boiler Replacement with Fue l Conversion,"$3,890","$17,226","$1,000",,"$11,407","$12,407",,76%,4.43,4.17,"203 Nostrand Ave, Brooklyn, NY, 11205",Brooklyn,"203 Nostrand Ave, Brooklyn, NY, 11205",3017700001.0,997654,191471
41,0,17.7,0.0,,4,Low Flow Sink Aerators,$31,$20,$0,,$208,$208,,1040%,0.65,0.65,"203 Nostrand Ave, Brooklyn, NY, 11205",Brooklyn,"203 Nostrand Ave, Brooklyn, NY, 11205",3017700001.0,997654,191471
42,509,0.0,0.0,,5,Consolidation of Refrigerators,$164,$0,$0,,"$1,210","$1,210",,immediate,0.00,0.00,"203 Nostrand Ave, Brooklyn, NY, 11205",Brooklyn,"203 Nostrand Ave, Brooklyn, NY, 11205",3017700001.0,997654,191471
43,0,166.4,,,1,Implement Air Leakage Sealing Strategies,$146,$806,$0,,$103,$103,,13%,5.51,5.51,"595 Quincy Street, Brooklyn, NY, 11221",Brooklyn,"595 Quincy Street, Brooklyn, NY, 11221",3016250073.0,1002195,190289
44,"3,291",0.0,,,2,Lighting Upgrades,$846,"$2,039",$510,,"$6,175","$6,685",,437%,2.41,1.81,"595 Quincy Street, Brooklyn, NY, 11221",Brooklyn,"595 Quincy Street, Brooklyn, NY, 11221",3016250073.0,1002195,190289
45,0,251.4,,,3,Programmable Thermostat Installation and Set Back,$221,$440,$0,,"$1,304","$1,304",,296%,1.99,1.99,"595 Quincy Street, Brooklyn, NY, 11221",Brooklyn,"595 Quincy Street, Brooklyn, NY, 11221",3016250073.0,1002195,190289
46,0,18.7,,,4,Low Flow Sink Aerators,$16,$15,$0,,$106,$106,,709%,0.91,0.91,"595 Quincy Street, Brooklyn, NY, 11221",Brooklyn,"595 Quincy Street, Brooklyn, NY, 11221",3016250073.0,1002195,190289
47,922,0.0,,,5,Refrigeration Equipment Consolidation,$237,$0,$0,,"$1,987","$1,987",,immediate,0.00,0.00,"595 Quincy Street, Brooklyn, NY, 11221",Brooklyn,"595 Quincy Street, Brooklyn, NY, 11221",3016250073.0,1002195,190289
48,0,63.8,,,1,Weather-Strip Doors,$70,$300,$0,,$132,$132,,44%,4.32,4.32,"154 Sterling Street, Brooklyn, NY, 11225",Brooklyn,"154 Sterling Street, Brooklyn, NY, 11225",3013190021.0,996503,180677
49,"1,823",0.0,,,2,Lighting Upgrades,$487,$399,$100,,"$4,331","$4,431",,1480%,0.82,0.61,"154 Sterling Street, Brooklyn, NY, 11225",Brooklyn,"154 Sterling Street, Brooklyn, NY, 11225",3013190021.0,996503,180677
50,0,64.9,,,3,Low Flow Hot Water Devices,$71,$30,$0,,$490,$490,,1634%,0.42,0.42,"154 Sterling Street, Brooklyn, NY, 11225",Brooklyn,"154 Sterling Street, Brooklyn, NY, 11225",3013190021.0,996503,180677
51,419,,,,1,Envelope Improvements,$103,$596,$0,,$43,$43,,7%,5.79,5.79,"316 Saratoga Avenue, Brooklyn, NY, 11233",Brooklyn,"316 Saratoga Avenue, Brooklyn, NY, 11233",3014460040.0,1007288,185121
52,"1,379",,,,2,Install Efficient Lighting & Controls,$338,$946,$215,,"$2,298","$2,513",,344%,2.80,2.16,"316 Saratoga Avenue, Brooklyn, NY, 11233",Brooklyn,"316 Saratoga Avenue, Brooklyn, NY, 11233",3014460040.0,1007288,185121
53,107,,,,3,Low Flow Aerators,$26,$10,$0,,$183,$183,,1831%,0.38,0.38,"316 Saratoga Avenue, Brooklyn, NY, 11233",Brooklyn,"316 Saratoga Avenue, Brooklyn, NY, 11233",3014460040.0,1007288,185121
54,193,,,,4,Replace Refrigerator,$47,$430,$100,,-$33,$67,,20%,9.08,6.97,"316 Saratoga Avenue, Brooklyn, NY, 11233",Brooklyn,"316 Saratoga Avenue, Brooklyn, NY, 11233",3014460040.0,1007288,185121
55,0,51.6,,,1,Caulk Window Frames,$56,$200,,,$145,,,73%,3.60,,"422 Dean Street, Brooklyn, NY, 11217",Brooklyn,"422 Dean Street, Brooklyn, NY, 11217",3009300031.0,990528,187812
56,"1,754",0.0,,,2,Lighting Upgrades,$503,$254,,,"$4,635",,,1828%,0.50,,"422 Dean Street, Brooklyn, NY, 11217",Brooklyn,"422 Dean Street, Brooklyn, NY, 11217",3009300031.0,990528,187812
57,0,17.0,,,3,Low Flow Aerators,$18,$10,,,$125,,,1249%,0.55,,"422 Dean Street, Brooklyn, NY, 11217",Brooklyn,"422 Dean Street, Brooklyn, NY, 11217",3009300031.0,990528,187812
58,0,26.0,,,4,Reduce DHW Temperature,$28,$0,,,$118,,,High,0.00,,"422 Dean Street, Brooklyn, NY, 11217",Brooklyn,"422 Dean Street, Brooklyn, NY, 11217",3009300031.0,990528,187812
59,"1,774",0.0,0.0,,1,Lighting Upgrades,$494,"$4,594",,,$202,,,4%,9.30,,"424 Dean Street, Brooklyn, NY, 11217",Brooklyn,"424 Dean Street, Brooklyn, NY, 11217",3009300032.0,990563,187794
60,0,"-1,241.1","1,211.5",,2,Furnace Replacements,"$2,039","$14,689",,,$314,,,2%,7.21,,"424 Dean Street, Brooklyn, NY, 11217",Brooklyn,"424 Dean Street, Brooklyn, NY, 11217",3009300032.0,990563,187794
61,0,90.9,0.0,,3,Install Programmable Thermostats,$141,$440,,,$669,,,152%,3.13,,"424 Dean Street, Brooklyn, NY, 11217",Brooklyn,"424 Dean Street, Brooklyn, NY, 11217",3009300032.0,990563,187794
62,0,7.0,0.0,,4,Low Flow Aerators,$11,$15,,,$65,,,431%,1.39,,"424 Dean Street, Brooklyn, NY, 11217",Brooklyn,"424 Dean Street, Brooklyn, NY, 11217",3009300032.0,990563,187794
63,550,0.0,0.0,,5,Consolidate Refrigeration Equipment,$153,$0,,,"$1,284",,,High,0.00,,"424 Dean Street, Brooklyn, NY, 11217",Brooklyn,"424 Dean Street, Brooklyn, NY, 11217",3009300032.0,990563,187794
64,0,257.8,,,1,Envelope Improvements,$235,"$1,390",,,$67,,,5%,5.92,,"590 New Lots Ave, Brooklyn, NY, 11207",Brooklyn,"590 New Lots Ave, Brooklyn, NY, 11207",3043060002.0,1015609,181313
65,"3,466",0.0,,,2,Lighting Upgrades,$878,"$3,563",,,"$4,964",,,139%,4.06,,"590 New Lots Ave, Brooklyn, NY, 11207",Brooklyn,"590 New Lots Ave, Brooklyn, NY, 11207",3043060002.0,1015609,181313
66,0,"1,096.1",,,3,Boiler Replacement,$998,"$17,497",,,"-$6,056",,,-35%,17.54,,"590 New Lots Ave, Brooklyn, NY, 11207",Brooklyn,"590 New Lots Ave, Brooklyn, NY, 11207",3043060002.0,1015609,181313
67,0,259.2,,,4,Install Programmable Thermostats,$236,$440,,,"$1,420",,,323%,1.87,,"590 New Lots Ave, Brooklyn, NY, 11207",Brooklyn,"590 New Lots Ave, Brooklyn, NY, 11207",3043060002.0,1015609,181313
68,0,25.2,,,5,Low Flow Aerators,$23,$25,,,$144,,,575%,1.09,,"590 New Lots Ave, Brooklyn, NY, 11207",Brooklyn,"590 New Lots Ave, Brooklyn, NY, 11207",3043060002.0,1015609,181313
69,"2,098",0.0,,,1,Air Sealing,$603,"$1,000",,,"$2,747",,,275%,1.66,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
70,"2,098",0.0,,,1,Air Sealing,$603,"$1,000",,,"$2,747",,,275%,1.66,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
71,"1,437",0.0,,,2,Complete Lighting Retrofit and Install Controls,$413,"$1,938",,,"$1,886",,,97%,4.69,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
72,"1,437",0.0,,,2,Complete Lighting Retrofit and Install Controls,$413,"$1,938",,,"$1,886",,,97%,4.69,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
73,340,1.4,,,3,Install Programmable The rmostat,$99,$220,,,$561,,,255%,2.22,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
74,340,1.4,,,3,Install Programmable The rmostat,$99,$220,,,$561,,,255%,2.22,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
75,0,43.5,,,4,Low Flow Aerators,$36,$25,,,$239,,,955%,0.70,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
76,0,43.5,,,4,Low Flow Aerators,$36,$25,,,$239,,,955%,0.70,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
77,"2,098",0.0,,,1,Air Sealing,$603,"$1,000",,,"$2,747",,,275%,1.66,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
78,"2,098",0.0,,,1,Air Sealing,$603,"$1,000",,,"$2,747",,,275%,1.66,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
79,"1,437",0.0,,,2,Complete Lighting Retrofit and Install Controls,$413,"$1,938",,,"$1,886",,,97%,4.69,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
80,"1,437",0.0,,,2,Complete Lighting Retrofit and Install Controls,$413,"$1,938",,,"$1,886",,,97%,4.69,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
81,340,1.4,,,3,Install Programmable The rmostat,$99,$220,,,$561,,,255%,2.22,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
82,340,1.4,,,3,Install Programmable The rmostat,$99,$220,,,$561,,,255%,2.22,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
83,0,43.5,,,4,Low Flow Aerators,$36,$25,,,$239,,,955%,0.70,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
84,0,43.5,,,4,Low Flow Aerators,$36,$25,,,$239,,,955%,0.70,,"1746 Broadway, Brooklyn, NY, 11207",Brooklyn,"1746 Broadway, Brooklyn, NY, 11207",3015120022.0,1008974,188039
85,"1,153",0.0,0.0,,1,"Complete Lighting Retrofit and Install Occupancy
Se nsors",$296,"$1,091",,,"$1,001",,,92%,3.68,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
86,"1,153",0.0,0.0,,1,"Complete Lighting Retrofit and Install Occupancy
Se nsors",$296,"$1,091",,,"$1,001",,,92%,3.68,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
87,0,"-3,167.9","2,499.0",,2,Replace  Boiler with Natural Gas Boiler,"$8,923","$57,500",,,"$8,174",,,14%,6.44,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
88,0,"-3,167.9","2,499.0",,2,Replace  Boiler with Natural Gas Boiler,"$8,923","$57,500",,,"$8,174",,,14%,6.44,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
89,"3,297",0.0,0.0,,3,Programmable  Electric Heaters,$847,"$4,450",,,"$2,230",,,50%,5.25,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
90,"3,297",0.0,0.0,,3,Programmable  Electric Heaters,$847,"$4,450",,,"$2,230",,,50%,5.25,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
91,0,14.0,0.0,,4,Install Low Flow Ae rators,$7,$15,,,$34,,,227%,2.25,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
92,0,14.0,0.0,,4,Install Low Flow Ae rators,$7,$15,,,$34,,,227%,2.25,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
93,"1,153",0.0,0.0,,1,"Complete Lighting Retrofit and Install Occupancy
Se nsors",$296,"$1,091",,,"$1,001",,,92%,3.68,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
94,"1,153",0.0,0.0,,1,"Complete Lighting Retrofit and Install Occupancy
Se nsors",$296,"$1,091",,,"$1,001",,,92%,3.68,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
95,0,"-3,167.9","2,499.0",,2,Replace  Boiler with Natural Gas Boiler,"$8,923","$57,500",,,"$8,174",,,14%,6.44,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
96,0,"-3,167.9","2,499.0",,2,Replace  Boiler with Natural Gas Boiler,"$8,923","$57,500",,,"$8,174",,,14%,6.44,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
97,"3,297",0.0,0.0,,3,Programmable  Electric Heaters,$847,"$4,450",,,"$2,230",,,50%,5.25,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
98,"3,297",0.0,0.0,,3,Programmable  Electric Heaters,$847,"$4,450",,,"$2,230",,,50%,5.25,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
99,0,14.0,0.0,,4,Install Low Flow Ae rators,$7,$15,,,$34,,,227%,2.25,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
100,0,14.0,0.0,,4,Install Low Flow Ae rators,$7,$15,,,$34,,,227%,2.25,,"1726 Broadway, Brooklyn, NY, 11207",Brooklyn,"1726 Broadway, Brooklyn, NY, 11207",3015120008.0,1008805,188151
101,0,"1,085.4",,,1,Blower Door Assisted Air Sealing,"$1,253","$5,030",$0,,"$2,749","$2,749",,55%,4.02,4.02,"211 South 4th Street, Brooklyn, NY, 11211",Brooklyn,"211 South 4th Street, Brooklyn, NY, 11211",3024330001.0,995466,198297
102,0,"1,809.0",,,2,Attic Insulation,"$2,088","$24,000",$0,,"$4,737","$4,737",,20%,11.50,11.50,"211 South 4th Street, Brooklyn, NY, 11211",Brooklyn,"211 South 4th Street, Brooklyn, NY, 11211",3024330001.0,995466,198297
103,"10,438",0.0,,,3,Install Efficient Lighting & Controls,"$3,356","$6,702",$0,,"$24,775","$24,775",,370%,2.00,2.00,"211 South 4th Street, Brooklyn, NY, 11211",Brooklyn,"211 South 4th Street, Brooklyn, NY, 11211",3024330001.0,995466,198297
104,891,0.0,,,4,Replace Portable AC Unit,$286,$367,$0,,"$1,582","$1,582",,431%,1.28,1.28,"211 South 4th Street, Brooklyn, NY, 11211",Brooklyn,"211 South 4th Street, Brooklyn, NY, 11211",3024330001.0,995466,198297
105,0,820.1,,,5,Programmable Thermostats,$946,$440,$0,,"$7,024","$7,024",,1596%,0.46,0.46,"211 South 4th Street, Brooklyn, NY, 11211",Brooklyn,"211 South 4th Street, Brooklyn, NY, 11211",3024330001.0,995466,198297
106,0,122.0,,,1,Envelope Improvements,$160,$542,$0,,$453,$453,,84%,3.38,3.38,"166a 22nd Street, Brooklyn, NY, 11212",Brooklyn,"166a 22nd Street, Brooklyn, NY, 11212",3006450032.0,985120,180548
107,"2,192",0.0,,,2,Install Efficient Lighting & Controls,$798,"$2,324",$0,,"$5,413","$5,413",,233%,2.91,2.91,"166a 22nd Street, Brooklyn, NY, 11212",Brooklyn,"166a 22nd Street, Brooklyn, NY, 11212",3006450032.0,985120,180548
